class_id,course_prefix,course_number,course_code,call_number,class_title
acct2301.002.17s,acct,2301,ACCT 2301,24323,Introductory Financial Accounting 
acct2302.004.17s,acct,2302,ACCT 2302,24460,Introductory Management Accounting 
acct3100.001.17s,acct,3100,ACCT 3100,24462,Professional Development 
acct3101.ppa.17s,acct,3101,ACCT 3101,26904,Professional Program in Accounting Lyceum 
acct3322.001.17s,acct,3322,ACCT 3322,24334,Integrated Accounting Information Systems 
acct3331.001.17s,acct,3331,ACCT 3331,24335,Intermediate Financial Accounting I 
acct3332.001.17s,acct,3332,ACCT 3332,24637,Intermediate Financial Accounting II 
acct3341.501.17s,acct,3341,ACCT 3341,24465,Cost Management Systems 
acct3350.002.17s,acct,3350,ACCT 3350,24914,Fundamentals of Taxation 
acct4301.001.17s,acct,4301,ACCT 4301,25247,Database Systems 
acct4334.002.17s,acct,4334,ACCT 4334,24943,Auditing 
acct4336.001.17s,acct,4336,ACCT 4336,24342,Financial Statement Analysis 
acct4337.001.17s,acct,4337,ACCT 4337,25225,Business Valuation 
acct4340.001.17s,acct,4340,ACCT 4340,25031,Survey of Accounting Software 
acct4342.001.17s,acct,4342,ACCT 4342,24466,Analysis and Design of Accounting Systems 
acct6201.0w1.17s,acct,6201,ACCT 6201,24330,Introduction to Financial Accounting 
acct6202.0w1.17s,acct,6202,ACCT 6202,24331,Introduction to Managerial Accounting 
acct6305.001.17s,acct,6305,ACCT 6305,25181,Accounting for Managers 
acct6309.002.17s,acct,6309,ACCT 6309,24932,Business Data Warehousing 
acct6312.501.17s,acct,6312,ACCT 6312,25243,Cybersecurity Fundamentals 
acct6320.001.17s,acct,6320,ACCT 6320,24773,Database Foundations 
acct6330.001.17s,acct,6330,ACCT 6330,24347,Intermediate Financial Accounting I 
acct6331.0w1.17s,acct,6331,ACCT 6331,25034,Cost Accounting 
acct6332.0w1.17s,acct,6332,ACCT 6332,26915,Intermediate Financial Accounting II 
acct6333.501.17s,acct,6333,ACCT 6333,24351,Advanced Financial Reporting 
acct6334.002.17s,acct,6334,ACCT 6334,24942,Auditing 
acct6335.0w1.17s,acct,6335,ACCT 6335,24333,Ethics for Professional Accountants 
acct6336.501.17s,acct,6336,ACCT 6336,24353,Information Technology Audit and Risk Management 
acct6338.001.17s,acct,6338,ACCT 6338,25039,Accounting Systems Integration and Configuration 
acct6340.001.17s,acct,6340,ACCT 6340,25129,System Analysis and Project Management 
acct6343.0w1.17s,acct,6343,ACCT 6343,24957,Accounting Information Systems 
acct6344.0w1.17s,acct,6344,ACCT 6344,24749,Financial Statement Analysis 
acct6349.0w1.17s,acct,6349,ACCT 6349,24946,Information Technology Strategy and Management 
acct6350.001.17s,acct,6350,ACCT 6350,24750,Fundamentals of Taxation I 
acct6353.001.17s,acct,6353,ACCT 6353,24785,Fundamentals of Taxation II 
acct6365.501.17s,acct,6365,ACCT 6365,25220,Governmental and Not-For-Profit Accounting 
acct6367.501.17s,acct,6367,ACCT 6367,26918,Multijurisdictional Taxation 
acct6370.001.17s,acct,6370,ACCT 6370,24752,Business Law 
acct6373.001.17s,acct,6373,ACCT 6373,25041,Advanced External Auditing 
acct6377.501.17s,acct,6377,ACCT 6377,24355,Corporate Governance 
acct6380.501.17s,acct,6380,ACCT 6380,24356,Internal Audit 
acct6382.001.17s,acct,6382,ACCT 6382,24357,Advanced Internal Auditing 
acct6383.501.17s,acct,6383,ACCT 6383,25043,Fraud Examination 
acct6384.501.17s,acct,6384,ACCT 6384,25219,Analytical Reviews Using Audit Software 
acct6388.0w1.17s,acct,6388,ACCT 6388,24940,Accounting Communications 
acct6389.501.17s,acct,6389,ACCT 6389,24753,Volunteer Income Tax Assistance Practicum 
acct7324.001.17s,acct,7324,ACCT 7324,25044,Empirical Research in Financial Accounting 
acn6160.001.17s,acn,6160,ACN 6160,21394,Neurobiology 
